Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1906,.01,-.05,-.17,-.15,-.27,-.28,-.19,-.23,-.32,-.24,-.36,-.34,-.22,-.20,-.04,-.20,-.23,-.31
1907,-.28,-.30,-.25,-.30,-.35,-.33,-.30,-.29,-.28,-.26,-.37,-.36,-.31,-.30,-.31,-.30,-.31,-.31
1908,-.35,-.38,-.40,-.41,-.47,-.47,-.35,-.35,-.42,-.44,-.42,-.44,-.41,-.40,-.37,-.43,-.39,-.42
1909,-.51,-.47,-.42,-.53,-.60,-.52,-.46,-.32,-.41,-.46,-.54,-.56,-.48,-.47,-.47,-.52,-.43,-.47
1910,-.51,-.45,-.52,-.45,-.39,-.33,-.31,-.34,-.35,-.52,-.54,-.54,-.44,-.44,-.51,-.46,-.33,-.47
1911,-.55,-.58,-.59,-.63,-.59,-.67,-.47,-.45,-.44,-.35,-.24,-.13,-.47,-.51,-.55,-.60,-.53,-.34
1912,-.18,-.15,-.17,-.20,-.30,-.33,-.32,-.31,-.34,-.31,-.28,-.30,-.27,-.25,-.15,-.22,-.32,-.31
1913,-.25,-.26,-.39,-.29,-.33,-.40,-.20,-.20,-.27,-.25,-.25,-.15,-.27,-.28,-.27,-.34,-.27,-.26
1914,-.08,-.10,-.13,-.20,-.23,-.28,-.13,-.05,-.04,-.05,-.08,-.02,-.12,-.13,-.11,-.19,-.16,-.06
1915,-.14,.02,.04,.05,-.10,-.30,-.14,-.28,-.20,-.22,-.24,-.19,-.14,-.13,-.05,.00,-.24,-.22
1916,-.16,-.14,-.18,-.28,-.34,-.48,-.40,-.20,-.24,-.34,-.49,-.52,-.31,-.29,-.16,-.27,-.36,-.36
1917,-.64,-.59,-.54,-.48,-.40,-.39,-.19,-.06,-.17,-.28,-.37,-.30,-.37,-.39,-.58,-.47,-.22,-.27
1918,-.28,-.25,-.26,-.31,-.38,-.29,-.29,-.27,-.10,-.07,.01,-.01,-.21,-.23,-.28,-.32,-.28,-.05
1919,-.01,-.05,-.03,-.02,-.14,-.32,-.25,-.38,-.32,-.31,-.35,-.29,-.21,-.18,-.02,-.06,-.31,-.33
1920,-.34,-.24,-.25,-.28,-.33,-.45,-.34,-.20,-.08,-.13,-.09,-.21,-.25,-.25,-.29,-.29,-.33,-.10
1921,-.29,-.28,-.37,-.44,-.36,-.39,-.26,-.22,-.19,-.05,-.18,-.22,-.27,-.27,-.26,-.39,-.29,-.14
1922,-.28,-.26,-.20,-.31,-.48,-.45,-.28,-.29,-.29,-.33,-.18,-.24,-.30,-.30,-.25,-.33,-.34,-.27
1923,-.38,-.32,-.29,-.29,-.29,-.34,-.32,-.38,-.44,-.32,-.20,-.17,-.31,-.32,-.31,-.29,-.35,-.32
1924,-.16,-.25,-.18,-.33,-.30,-.33,-.35,-.45,-.41,-.47,-.53,-.51,-.36,-.33,-.20,-.27,-.38,-.47
1925,-.50,-.43,-.33,-.36,-.36,-.38,-.27,-.20,-.33,-.24,-.12,-.09,-.30,-.34,-.48,-.35,-.28,-.23
1926,-.11,-.13,-.15,-.11,-.22,-.29,-.33,-.19,-.24,-.27,-.28,-.28,-.22,-.20,-.11,-.16,-.27,-.26
1927,-.25,-.28,-.30,-.35,-.38,-.40,-.29,-.31,-.27,-.25,-.20,-.27,-.30,-.30,-.27,-.34,-.33,-.24
1928,-.28,-.26,-.26,-.24,-.42,-.44,-.28,-.26,-.26,-.29,-.23,-.29,-.29,-.29,-.27,-.31,-.32,-.26
1929,-.33,-.37,-.47,-.48,-.48,-.47,-.38,-.43,-.30,-.27,-.19,-.42,-.38,-.37,-.33,-.48,-.43,-.25
1930,-.48,-.35,-.34,-.34,-.29,-.31,-.37,-.30,-.28,-.24,-.08,-.17,-.29,-.31,-.41,-.32,-.33,-.20
1931,-.19,-.15,-.12,-.23,-.22,-.28,-.13,-.15,-.29,-.24,-.36,-.20,-.21,-.21,-.17,-.19,-.19,-.30
1932,-.09,-.15,-.16,-.21,-.24,-.41,-.33,-.34,-.30,-.30,-.22,-.30,-.26,-.25,-.15,-.20,-.36,-.27
1933,-.27,-.28,-.27,-.32,-.32,-.36,-.29,-.32,-.31,-.33,-.38,-.35,-.32,-.31,-.28,-.30,-.33,-.34
1934,-.30,-.40,-.32,-.33,-.27,-.27,-.16,-.14,-.16,-.25,-.20,-.22,-.25,-.26,-.35,-.31,-.19,-.21
1935,-.26,-.30,-.31,-.38,-.29,-.38,-.38,-.36,-.34,-.22,-.19,-.16,-.30,-.30,-.26,-.33,-.37,-.25
1936,-.26,-.24,-.28,-.34,-.31,-.47,-.28,-.28,-.24,-.12,-.12,-.17,-.26,-.26,-.22,-.31,-.34,-.16
1937,-.23,-.18,-.18,-.25,-.23,-.23,-.21,-.12,-.10,-.16,-.08,-.14,-.17,-.18,-.19,-.22,-.19,-.11
1938,-.19,-.22,-.16,-.20,-.22,-.28,-.18,-.20,-.15,-.04,-.18,-.14,-.18,-.18,-.18,-.19,-.22,-.12
1939,-.15,-.13,-.12,-.13,-.10,-.14,-.15,-.18,-.27,-.15,-.10,.09,-.13,-.15,-.14,-.12,-.16,-.17
1940,.11,.04,.16,.08,.07,.07,.10,.09,.07,-.03,.06,.29,.09,.08,.08,.10,.09,.03
1941,.19,.16,.10,.22,.13,.08,.21,.13,-.03,.22,.28,.25,.16,.17,.22,.15,.14,.16
1942,.18,.14,.12,.10,.06,.00,.01,.00,-.16,-.25,-.09,-.04,.00,.03,.19,.09,.00,-.17
1943,.06,-.05,-.08,-.11,-.11,-.04,.18,-.08,-.04,-.01,.02,.08,-.01,-.02,-.01,-.10,.02,-.01
1944,.08,.04,.21,.21,.14,.16,.23,.22,.20,.09,.03,.09,.14,.14,.07,.18,.20,.11
1945,.10,.08,.03,.09,.04,-.05,.02,.24,.21,.13,.07,.08,.09,.09,.09,.05,.07,.13
1946,-.04,-.03,-.09,-.21,-.17,-.38,-.21,-.31,-.13,-.18,-.18,-.15,-.17,-.15,.00,-.16,-.30,-.16
1947,-.08,-.12,-.16,-.11,-.10,-.03,-.05,-.10,-.24,-.27,-.16,-.22,-.14,-.13,-.12,-.12,-.06,-.22
1948,-.18,-.14,-.21,-.21,-.18,-.15,-.23,-.26,-.27,-.19,-.28,-.08,-.20,-.21,-.18,-.20,-.22,-.25
1949,-.10,-.20,-.08,-.19,-.20,-.34,-.16,-.21,-.19,-.21,-.26,-.22,-.20,-.19,-.13,-.16,-.24,-.22
1950,-.24,-.27,-.22,-.21,-.19,-.06,-.01,-.13,-.16,-.35,-.35,-.32,-.21,-.20,-.24,-.21,-.07,-.29
1951,-.34,-.32,-.22,-.36,-.18,-.11,-.10,-.10,-.22,-.11,-.09,-.06,-.18,-.21,-.33,-.25,-.10,-.14
1952,.07,.06,.06,-.10,-.20,-.22,-.05,.02,-.01,.01,-.05,-.04,-.04,-.04,.02,-.08,-.08,-.02
1953,-.09,-.07,-.03,-.02,-.01,-.02,-.19,-.07,-.08,-.10,-.13,-.12,-.08,-.07,-.07,-.02,-.09,-.10
1954,-.24,-.19,-.13,-.27,-.33,-.34,-.28,-.34,-.29,-.18,-.21,-.27,-.26,-.24,-.18,-.24,-.32,-.23
1955,-.17,-.20,-.22,-.22,-.29,-.18,-.19,-.05,-.22,-.24,-.19,-.29,-.21,-.20,-.21,-.24,-.14,-.22
1956,-.23,-.18,-.20,-.29,-.29,-.13,.00,-.24,-.08,-.19,-.06,-.03,-.16,-.18,-.23,-.26,-.12,-.11
1957,-.04,-.02,.00,.09,.23,.18,-.06,.14,.05,-.04,.04,.06,.05,.05,-.03,.11,.09,.02
1958,.10,.16,.01,.01,.00,-.21,.05,-.22,-.12,.01,.02,-.15,-.03,-.01,.11,.01,-.12,-.03
1959,-.08,-.02,.03,.09,.04,-.08,.01,-.11,-.25,-.10,-.18,-.10,-.06,-.07,-.08,.05,-.06,-.18
1960,-.15,-.16,-.29,-.17,-.19,-.26,-.16,-.07,.02,.06,-.14,-.02,-.13,-.13,-.14,-.22,-.16,-.02
1961,-.03,.08,-.04,.12,.18,.05,-.04,-.04,.19,.03,-.01,-.16,.03,.04,.01,.09,-.01,.07
1962,-.17,-.07,-.10,-.13,-.14,.19,-.06,-.05,.03,-.10,.00,-.15,-.06,-.06,-.14,-.12,.03,-.02
1963,-.14,-.14,-.16,-.19,-.07,.14,.03,.30,.22,-.12,-.12,-.08,-.03,-.03,-.14,-.14,.15,.00
1964,-.13,-.17,-.10,-.33,-.40,.02,.04,-.21,-.31,-.31,-.21,-.33,-.20,-.18,-.12,-.27,-.05,-.28
1965,-.15,.03,-.16,-.12,-.10,.04,-.08,.12,-.09,-.08,-.15,-.06,-.07,-.09,-.15,-.12,.03,-.11
1966,-.12,-.12,.08,-.03,-.19,-.04,.06,-.30,-.12,-.23,-.03,-.02,-.09,-.09,-.10,-.05,-.10,-.12
1967,.03,-.03,-.14,-.14,.04,-.10,-.01,-.05,-.10,-.12,-.14,-.12,-.07,-.07,-.01,-.08,-.05,-.12
1968,-.23,-.13,-.04,-.11,-.22,-.14,-.17,-.09,-.32,.18,.13,.05,-.09,-.11,-.16,-.13,-.13,.00
1969,.23,.12,.22,.31,.26,.11,-.13,.04,.13,.17,.11,.19,.14,.13,.13,.26,.00,.14
1970,.20,.17,.19,.13,-.06,-.06,.08,-.15,.28,.25,.02,.06,.09,.10,.19,.09,-.04,.18
1971,.09,-.10,-.08,.07,.01,-.19,-.02,.14,.03,.07,-.13,-.04,-.01,.00,.02,.00,-.02,-.01
1972,.10,.17,.04,.12,.09,.19,.09,.40,.31,.21,.25,.42,.20,.16,.08,.08,.23,.26
1973,.43,.21,.26,.36,.36,.21,.22,.08,.26,.27,.18,-.10,.23,.27,.35,.33,.17,.23
1974,.05,-.18,-.14,-.14,.11,.08,.06,.30,.00,.11,.05,.09,.03,.02,-.08,-.06,.15,.05
1975,.03,.06,.14,.02,.32,.05,.05,-.20,.02,-.05,-.05,-.13,.02,.04,.06,.16,-.03,-.03
1976,-.12,-.01,-.12,-.17,-.15,-.04,.07,-.03,-.01,.04,.21,.47,.01,-.04,-.09,-.15,.00,.08
1977,.53,.34,.22,.27,.42,.31,.32,.33,-.08,.09,.06,.05,.24,.27,.45,.31,.32,.02
1978,-.03,.16,.17,.26,.24,.11,.15,-.12,.12,.06,.11,.13,.11,.11,.06,.22,.05,.10
1979,.22,.16,.20,.48,.06,.20,.03,.30,.31,.29,.33,.41,.25,.23,.17,.25,.18,.31
1980,.38,.38,.52,.45,.44,.22,.30,.27,.31,.15,.38,.34,.34,.35,.39,.47,.26,.28
1981,.25,.21,.28,.25,.30,.30,.54,.52,.15,.02,.11,.28,.27,.27,.27,.28,.45,.09
1982,.24,.14,.01,.13,.27,.11,.25,.15,.22,.26,.47,.48,.23,.21,.22,.13,.17,.32
1983,.51,.51,.41,.49,.63,.36,.18,.46,.49,.22,.12,.22,.38,.41,.50,.51,.33,.28
1984,.28,.26,.34,.19,.42,-.03,.30,.33,.46,.19,.23,.33,.28,.27,.26,.32,.20,.29
1985,.36,.22,.35,.27,.20,.29,.15,.34,.23,.21,.08,.12,.24,.25,.31,.27,.26,.17
1986,.16,.43,.34,.30,.23,.10,.25,.27,.09,.22,.17,.20,.23,.22,.23,.29,.21,.16
1987,.39,.36,.37,.42,.29,.53,.56,.24,.32,.44,.49,.43,.40,.38,.32,.36,.44,.42
1988,.54,.43,.56,.42,.45,.40,.25,.52,.47,.52,.19,.15,.41,.43,.47,.48,.39,.39
1989,.16,.19,.25,.26,.13,.10,.37,.40,.45,.33,.28,.40,.28,.26,.17,.21,.29,.35
1990,.35,.33,.42,.42,.41,.27,.58,.28,.04,.41,.47,.43,.37,.37,.36,.42,.38,.31
1991,.26,.42,.25,.46,.35,.59,.52,.43,.52,.29,.27,.43,.40,.40,.37,.36,.51,.36
1992,.34,.30,.42,.40,.44,.47,.27,.23,.17,.31,.14,.22,.31,.33,.36,.42,.33,.21
1993,.30,.21,.33,.32,.25,.24,.38,.20,.29,.35,.29,.15,.28,.28,.24,.30,.27,.31
1994,.19,.09,.09,.35,.18,.45,.27,.11,.29,.31,.39,.42,.26,.24,.14,.21,.28,.33
1995,.30,.38,.34,.22,.13,.36,.54,.37,.24,.33,.32,.26,.32,.33,.36,.23,.42,.30
1996,.22,.37,.33,.49,.20,.26,.44,.77,.46,.39,.47,.39,.40,.39,.28,.34,.49,.44
1997,.30,.21,.29,.18,.27,.60,.28,.35,.54,.60,.71,.68,.42,.39,.30,.24,.41,.62
1998,.55,.72,.54,.40,.71,.82,.58,.59,.24,.31,.37,.35,.51,.54,.65,.55,.66,.31
1999,.37,.27,.36,.10,.16,.38,.41,.32,.36,.28,.20,.15,.28,.30,.33,.21,.37,.28
2000,.11,.21,.25,.24,.16,.35,.36,.38,.41,.25,.41,.28,.28,.27,.16,.22,.36,.36
2001,.34,.41,.34,.41,.46,.52,.55,.31,.47,.40,.47,.45,.43,.41,.34,.40,.46,.45
2002,.51,.42,.64,.65,.77,.39,.58,.52,.65,.55,.40,.46,.54,.54,.46,.69,.49,.53
2003,.56,.60,.53,.50,.49,.42,.48,.43,.47,.47,.41,.51,.49,.48,.54,.51,.44,.45
2004,.50,.53,.39,.51,.22,.41,.04,.36,.40,.52,.48,.57,.41,.41,.51,.37,.27,.47
2005,.54,.48,.54,.41,.48,.51,.48,.51,.53,.57,.43,.51,.50,.50,.53,.48,.50,.51
2006,.47,.51,.48,.34,.20,.51,.40,.72,.50,.44,.53,.43,.46,.47,.50,.34,.54,.49
2007,.57,.50,.49,.45,.66,.57,.54,.47,.52,.33,.36,.21,.47,.49,.50,.53,.53,.41
2008,.26,.16,.34,.42,.38,.37,.60,.35,.64,.49,.42,.42,.40,.39,.21,.38,.44,.52
2009,.46,.35,.48,.51,.66,.61,.79,.66,.59,.53,.75,.68,.59,.57,.41,.55,.69,.62
2010,.69,.73,.74,.56,.57,.52,.38,.48,.56,.54,.41,.38,.55,.57,.70,.62,.46,.50
2011,.42,.40,.41,.45,.40,.49,.68,.78,.39,.41,.52,.32,.47,.48,.40,.42,.65,.44
2012,.29,.39,.43,.39,.60,.37,.33,.56,.59,.69,.60,.61,.49,.46,.33,.48,.42,.63
2013,.57,.45,.53,.39,.44,.63,.51,.67,.82,.56,.54,.55,.55,.56,.54,.45,.60,.64
2014,.54,.39,.35,.52,.83,.54,.41,.75,.91,.68,.54,.47,.58,.58,.49,.57,.57,.71
2015,.53,.62,.59,.48,.55,.57,.56,.59,.53,.87,.77,.80,.62,.59,.54,.54,.57,.72
2016,.81,.79,.81,.72,.80,.50,.65,.91,.59,.71,.72,.68,.72,.73,.80,.78,.69,.67
2017,.66,.75,.81,.69,.90,.49,.67,.73,.51,.73,.54,.48,.66,.68,.70,.80,.63,.60
2018,.50,.46,.58,.79,.62,.66,.74,.67,.63,.80,.70,.75,.66,.64,.48,.66,.69,.71
2019,.66,.77,.78,.77,.71,.62,.84,.79,.64,.70,.79,.83,.74,.74,.73,.75,.75,.71
2020,.76,.78,.69,.84,.72,.69,.68,.61,.74,.54,.60,.40,.67,.71,.79,.75,.66,.62
2021,.37,.33,.57,.38,.53,.48,.76,.60,.79,.67,.55,.58,.55,.54,.37,.50,.62,.67
2022,.58,.61,.67,.58,.65,.71,.81,.72,.62,.61,.36,.53,.62,.62,.59,.63,.74,.53
2023,.45,.64,.81,.96,.75,.97,.95,.83,1.29,.82,.87,.89,.85,.82,.54,.84,.92,.99
2024,.84,.96,1.01,.83,.85,.88,.99,1.17,.89,.96,.70,.83,.91,.91,.90,.90,1.01,.85
2025,.89,.87,.88,.87,.94,.92,.82,1.02,***,***,***,***,***,***,.87,.90,.92,***
