Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1958,.69,.28,.16,.02,.12,.05,.05,.13,.07,.08,.03,.18,.15,.16,.40,.10,.08,.06
1959,.24,.17,.33,.22,.04,.14,.05,.10,.14,-.04,.03,.10,.13,.13,.19,.20,.10,.04
1960,.15,.42,-.40,-.12,.03,.19,.09,.11,.12,.05,-.08,.39,.08,.05,.22,-.16,.13,.03
1961,.18,.30,.22,.14,.07,.18,.06,.05,-.03,-.03,.08,-.17,.09,.13,.29,.15,.09,.00
1962,.28,.36,.30,.23,.02,-.13,.10,.03,-.02,.13,.12,.10,.13,.10,.16,.18,.00,.08
1963,.08,.50,-.11,.04,-.04,-.04,.10,.14,.13,.42,.43,.03,.14,.15,.23,-.04,.07,.33
1964,-.04,-.02,-.32,-.30,-.10,-.09,-.13,-.23,-.28,-.31,-.21,-.27,-.19,-.17,-.01,-.24,-.15,-.27
1965,-.02,-.37,-.09,-.26,-.14,-.20,-.18,-.20,-.20,-.02,.04,-.08,-.14,-.16,-.22,-.16,-.20,-.06
1966,-.25,.03,.00,-.22,-.05,.06,.11,.14,.06,-.10,.02,-.03,-.02,-.02,-.10,-.09,.10,-.01
1967,-.18,-.37,.23,.05,.21,-.06,.04,.06,-.02,.30,.04,.02,.03,.02,-.19,.16,.02,.10
1968,-.29,-.16,.44,.00,-.06,-.05,-.08,-.08,-.05,-.01,-.21,-.33,-.07,-.04,-.14,.13,-.07,-.09
1969,-.43,-.46,-.20,.03,.11,-.04,.06,.05,.04,.03,.15,.31,-.03,-.08,-.41,-.02,.02,.07
1970,-.03,.27,-.07,-.02,.00,.02,-.04,-.05,-.05,-.20,.01,-.31,-.04,.01,.18,-.03,-.03,-.08
1971,-.15,-.21,-.28,-.20,-.12,-.14,-.13,-.16,-.14,-.16,-.02,-.14,-.15,-.17,-.22,-.20,-.14,-.11
1972,-.54,-.52,.01,-.12,-.15,-.10,-.05,-.09,-.26,-.04,-.19,-.04,-.18,-.18,-.40,-.09,-.08,-.17
1973,.15,.43,.31,.19,.09,.16,.04,.03,-.08,-.08,-.10,-.04,.09,.09,.18,.20,.08,-.09
1974,-.26,-.35,.03,-.10,-.19,-.18,-.12,-.11,-.16,-.23,-.21,-.27,-.18,-.16,-.21,-.09,-.14,-.20
1975,.16,.09,.10,.05,-.02,-.08,-.06,-.14,-.07,-.18,-.30,-.22,-.06,-.06,.00,.04,-.09,-.19
1976,.05,-.12,-.31,.02,-.26,-.20,-.26,-.21,-.12,-.51,-.32,-.25,-.21,-.21,-.10,-.18,-.22,-.32
